[Profiler] Pipeline IA tomo: 4.4651 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.396 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4699 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.6367 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5835 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.8506 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.9924 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9459 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.772 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4592 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.9493 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.9062 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.4044 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 5.1471 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5196 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4865 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.48 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 6.8403 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.812 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 4.511 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.5159 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.3849 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.7402 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.4793 ms | Denoise: ON | VSR (0)
[Profiler] Pipeline IA tomo: 3.656 ms | Denoise: ON | VSR (0)
